,ЗК 1,ЗК 2,ЗК 3,ЗК 4,ЗК 5,ЗК 6,ЗК 7,ЗК 8,ЗК 9,ЗК 10,ЗК 11,ЗК 12,ЗК 13,ЗК 14,ЗК 15,ЗК 16,СК 1,СК 2,СК 3,СК 4,СК 5,СК 6,СК 7,СК 8,СК 9,СК 10,СК 11,СК 12,СК 13,СК 14,СК 15,СК 16,СК 17,СК 18,СК 19,СК 20,СК 21,СК 22
НД 1.1,,1,,1,1,1,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1
НД 2,1,1,1,,1,1,1,,,,,,,,,,1,1,1,,,1,,1,,1,,,,1,,,,,,,1,
НД 3,1,1,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,
НД 4,1,1,1,,1,1,1,,,,,,,,1,,1,1,1,,,,1,1,,1,,1,1,1,,,,,,,1,
НД 5,1,1,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,1
НД 6,1,1,1,,1,1,1,,,,,,,,1,,1,1,1,,,,1,1,,1,,1,1,1,1,,,,,,1,
НД 7,1,1,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,
НД 8,,,,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,
НД 9,1,1,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,
НД 10,1,1,1,,1,1,1,,,,,,,,1,,1,1,1,,,,1,1,,1,,1,1,1,1,,,,,,1,
НД 11,,1,1,,1,1,1,,,1,,,1,,1,1,,,,,,,,,1,,,,,,,,1,,1,,1,1
НД 12,1,1,,1,1,1,,,,,,,,,,,1,1,1,,,,1,1,,1,1,1,1,1,1,,,,,,1,
НД 13,1,1,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,
НД 14,,,,1,1,1,,1,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
НД 15,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,1,
НД 16,1,1,,1,1,1,,,,,,,,,,,1,1,1,,,,1,1,,1,1,1,1,1,1,,,,,,1,
НД 17,1,1,,1,1,1,,,,,,,,,,,1,1,1,,,1,1,,,1,,,,,,,,,,,,
НД 18,,,,1,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,,,,,
НД 19,1,1,,1,1,1,1,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,1,
НД 20,1,1,1,,,1,,1,,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,
НД 21,,1,,,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
НД 22,1,1,,1,1,1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,1,1
НД 23,1,1,,1,1,1,1,,,,,,,,1,,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,,,,,,
НД 24,1,1,,1,1,1,1,,,,,,,,1,,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,,,,,,
НД 25,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1
НД 26,1,1,,1,1,1,1,,,,,,,,1,,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,,,,,,
