,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
НД 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1
НД 2,1,1,1,,,1,1,,1,1,1,,,,1,,1,,,1,,,,,,,,,,,,,,1,,1
НД 3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1
НД 4,1,1,1,,,1,1,,1,1,1,1,,,1,,1,,1,,,,,,,,,,,,,,,1,,1
НД 5,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,1
НД 6,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1,,,1,,,,,,,,,,,,1,,1
НД 7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1
НД 8,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,1,,1,1
НД 9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1
НД 10,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,,1,,,1,,,,,,,,,,,,1,,1
НД 11,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,1,,1,1,1
НД 12,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,,1,,,,,,,,,,,,1,,1
НД 13,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1
НД 14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1
НД 15,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,1
НД 16,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,,,,,,,,,,,,1,,1
НД 17,1,,,,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1
НД 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1
НД 19,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,1
НД 20,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,1,1
НД 21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1
НД 22,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,,,,1,,1,1,1
НД 23,1,,,,,,,,1,1,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,1
НД 24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,1,,1
НД 25,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,1,,1,1,1
НД 26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,1,,,,,,1,,1,,1
НД 27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,1,,1
НД 28,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,1,1
НД 29,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,1,,1,1,1
НД 30,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,,1,1,1
НД 31,1,1,1,,,,,1,1,1,1,,1,1,1,1,,,1,,,,,,,,,,,,,1,,1,,1
НД 32,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,1,1,1
ПР 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,1,1,1,,1,1,1
ПР 2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,1,1,1,,1,1,1
ПР 3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,1,1,1,,1,1,1
ПР 4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,1,1,1,,1,1,1
AT 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,1,1,1,,1,1,1
ВД 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
ВД 2,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,,1,,1,1,1
ВД 3,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,,,1,,1,,1
ВД 4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1
ВД 5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,1,,,,,,1,,1,,1
ВД 6,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,,,,1,,1,1,1
ВД 7,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,,,,,,,,,,,,1,,1
ВД 8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1
ВД 9,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1
